наш	PRON
12часовой	ADJ
сон	NOUN
плохо	ADVB
для	PREP
нас	PRON
кончился	VERB
получился	VERB
полный	ADJ
кринж	NOUN
c	PREP
утра	NOUN
мне	PRON
пришлось	VERB
пить	VERB
кофе	NOUN
и	CONJ
накидывать	VERB
пальто	NOUN
за	PREP
пять	NUMR
минут	NOUN
при	PREP 
этом	PRON
все	PRON
мои	PRON
попытки	NOUN
успеть	VERB
на	PREP
автобус	NOUN
оказались	VERB
тщетны	ADJ
вызвала	VERB
такси	NOUN
но	CONJ
из-за	PREP
пробок	NOUN
всё	PRON 
равно	PART
опоздала	VERB
на	PREP
электричку	NOUN
я	PRON
думала	VERB
на	PREP
работе	NOUN
меня	PRON
казнят	VERB
за	PREP
такое	PRON
в	PREP
то	PRON
же	PART
время	NOUN
моя	PRON
подруга	NOUN
всё	PRON
прекрасно	ADVB
успела	VERB
она	PRON
кажется	PART
даже	PART
не	PART
спешила	VERB
позавтракала	VERB
потом	ADVB
в	PREP
столовой	NOUN
у	PREP
неё	PRON
появились	VERB
другие	PRON
проблемы	NOUN
на	PREP
работе	NOUN
их	PRON
начали	VERB
убеждать	VERB
проголосовать	VERB
за	PREP
ЛДПР	NOUN
как	PRON
я	PRON
об	PREP
этом	PRON
узнала	VERB
из	PREP
её	PRON
твита	NOUN
конечно	PART
же	PART
твиттер	NOUN
она	PRON
завела	VERB
недавно	ADVB
чтобы	CONJ
следить	VERB
за	PREP
селебами	NOUN
вот	INTJ
например	PART
Красных	PNOUN
или	CONJ
Воробьёв	PNOUN
интересные	ADJ
ребята	NOUN
хайповые	ADJ
общем	PREP
общем	ADVB
к	PREP
вечеру	NOUN
мы	PRON
обе	NUMR
были	VERB
никакие	ADJ
встретились	VERB
в	PREP
20:00	NUMR
дома	ADVB
она	PRON
принесла	VERB
бутылку	NOUN
вина	NOUN
всё-таки	PART
нам	PRON
уже	ADVB
по	PREP
25	NUMR
сошлись	VERB
на	PREP
том	PRON
что	CONJ
во	PREP
всех	PRON
проблемах	NOUN
виноват	ADJ
ретроградный	ADJ
меркурий	NOUN
и	CONJ
решили	VERB
посмотреть	VERB
Хор	NOUN
ну	INTJ
и	CONJ
концовка	NOUN
у	PREP
сериала	NOUN
кошмар	NOUN
мы	PRON
не	PART
были	VERB
к	PREP
такому	PRON
готовы	PRED
кто	PRON
так	PRON
вообще	ADVB
поступает	VERB
будто	CONJ
последний	ADJ
глупец	NOUN
капец	INTJ
но	CONJ
завтра	ADVB
я	PRON
точно	ADVB
буду	VERB
в	PREP
порядке	PRED
проснусь	VERB
вовремя	ADVB
и	CONJ
пойду	VERB
на	PREP
работу	NOUN
буду	VERB
радоваться	VERB
жизни	NOUN
обязательно	ADVB
брошу	VERB
пить	VERB
и	CONJ
курить	VERB
и	CONJ
что-нибудь	PRON
ещё	ADVB
обязательно	ADVB
сделаю	VERB
но	CONJ
вот	INTJ
сейчас	ADVB
я	PRON
прогуливаюсь	VERB
по	PREP
мостовой	NOUN
малясь	ADVB
шатаясь	VERB
и	CONJ
думаю	VERB
о	PREP
жизни	NOUN
ничего	PRON
хорошего	ADJ
придумать	VERB
не	PART
могу	VERB
совсем	ADVB